dbname,table_name,alert_seconds,alert_rowcount,alert_event,alert_solution,alert_sample_query,alert_querycount
prd_dw,firehose_v3_enriched_ino,2423649.21334200,45355585538,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1875149,116
prd_dw,firehose_v3_enriched_near,2363498.23144600,44115079403,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1879911,141
prd_dw,firehose_v3_enriched_far,2338976.49509000,43874865355,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1879911,148
prd_dw,cut_session_master,1192027.69351900,123341909756,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1874814,63
prd_dw,firehose_v3_enriched_ino,558148.02483100,14753491957,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1850325,23
prd_dw,firehose_v3_enriched_far,558148.02483100,14753491957,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1850325,23
prd_dw,firehose_v3_enriched_near,558148.02483100,14753491957,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1850325,23
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@60317075@81334900@,199509.84669400,497080356,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1867248,21
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@113624562@81334900@,186729.97139500,1426885053,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1867248,20
prd_statsig,t_rslocal_localhost@473788@716097@,186409.62350600,4142908514,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1870035,168
prd_statsig,t_rslocal_localhost@473790@716097@,186385.00544900,4148778159,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1870035,168
prd_statsig,t_rslocal_localhost@473792@716097@,185666.18878500,4142846974,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1870035,143
prd_dw,cut_session_master,169734.76406100,24259829849,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1874814,34
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@79533855@80823173@,161704.26408600,31627774,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1572399,14
prd_dw,udm_registrations,149212.01233700,13249596445,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1879370,60
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@57867205@81334900@,143719.12244500,248996798026,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1876120,10
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@130745757@81424957@,133979.27235800,35954661573,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1876302,27
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@79533855@81334900@,129544.73013700,23616999,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1741280,13
prd_dw,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@60317075@80823173@,126404.70930800,160197631,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1554890,7
prd_dw,project,119724.96832300,12566671414,Broadcasted a large number of rows across the network,Review the choice of distribution key to collocate the join and consider using distributed tables,1855174,18
prd_dw,pillar5_sourceproj_canvas_to_cut_funnel,117061.88544800,5055712224,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1853170,28
