dbname,namespace,mview_name,is_stale,state,state_desc,autorewrite,autorefresh,mv_state,event_desc,event_starttime,refresh_db_username,refresh_status,refresh_type,refresh_starttime,refresh_endtime,refresh_duration_secs
dw,analytics,user_monthly_cut_behavior_raw,t,0,The MV is fully recomputed when refreshed,f,f,,,,app_matillion                                                                                                                   ,Refresh successfully recomputed MV from scratch,Manual                          ,2025-03-04 03:00:02.780587,2025-03-04 04:12:12.562520,4329.782000
dw,analytics,pillar4_discovery_project_metrics_with_cuts_mv,t,103,The MV cant be refreshed due to a renamed table,f,f,Unrefreshable                   ,Table was renamed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2025-03-03 20:51:48.344303,,,,,,
dw,analytics,user_monthly_cut_behavior_labelled_after_cut_data_start,t,0,The MV is fully recomputed when refreshed,f,f,,,,app_matillion                                                                                                                   ,Refresh successfully recomputed MV from scratch,Manual                          ,2025-03-04 04:12:14.026238,2025-03-04 04:34:15.237670,1321.211000
dw,analytics,pillar4_discovery_project_metrics_with_cuts_mat_view,t,103,The MV cant be refreshed due to a renamed table,f,f,Unrefreshable                   ,Table was renamed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2025-03-03 20:51:48.344175,,,,,,
dw,analytics,client_image_search_keyword_coverage,t,1,The MV is incremental,t,f,,,,,,,,,
dw,analytics,client_image_search_conversions,f,0,The MV is fully recomputed when refreshed,t,f,,,,,,,,,
dw,analytics,subscription_user_daily,t,0,The MV is fully recomputed when refreshed,f,f,,,,app_matillion                                                                                                                   ,Refresh successfully recomputed MV from scratch,Manual                          ,2025-03-03 19:30:00.919929,2025-03-03 23:06:59.663852,13018.744000
dw,analytics,sales_orders,t,0,The MV is fully recomputed when refreshed,f,f,,,,app_matillion                                                                                                                   ,Refresh successfully recomputed MV from scratch,Manual                          ,2025-03-06 12:04:02.278797,2025-03-06 12:18:27.567138,865.289000
dw,analytics,project_cut_session_windows,t,0,The MV is fully recomputed when refreshed,f,f,,,,,,,,,
dw,analytics,project_query_conversion,t,103,The MV cant be refreshed due to a renamed table,f,f,,,,,,,,,
dw,analytics,search_conversion_logic,t,0,The MV is fully recomputed when refreshed,f,f,,,,,,,,,
dw,analytics,user_monthly_cut_behavior_labelled_all_with_quartile,t,0,The MV is fully recomputed when refreshed,f,f,,,,app_matillion                                                                                                                   ,"Refresh successfully recomputed MV from scratch, but MV depends on an MV that is not up to date.",Manual                          ,2025-03-04 05:12:21.310112,2025-03-04 05:57:49.185247,2727.875000
dw,analytics,statsig_first_exposures_mv,t,0,The MV is fully recomputed when refreshed,f,f,,,,app_airflow_dev                                                                                                                 ,Refresh successfully recomputed MV from scratch,Manual                          ,2025-03-06 00:11:29.230580,2025-03-06 00:12:26.839951,57.609000
dw,analytics,user_monthly_cut_behavior_labelled_all,t,0,The MV is fully recomputed when refreshed,f,f,,,,app_matillion                                                                                                                   ,"Refresh successfully recomputed MV from scratch, but MV depends on an MV that is not up to date.",Manual                          ,2025-03-04 04:34:23.168572,2025-03-04 05:12:09.073151,2265.905000
dw,public,statsig_first_exposures_auto_refresh_july27,f,0,The MV is fully recomputed when refreshed,f,t,,,,IAM:venkatm@cricut.com                                                                                                          ,Refresh successfully recomputed MV from scratch,Auto                            ,2025-03-06 09:56:43.416815,2025-03-06 09:57:12.249554,28.833000
