namespace,external_table_name,file_format,s3_bucket,is_table_compressed,is_table_partitioned,is_file_spittable,external_table_partition_count,total_query_count,total_query_using_partition_pruning_count,pct_of_query_using_partition_pruning,avg_qualified_partitions,avg_assigned_partitions,avg_parallelism,avg_files,avg_split,avg_max_file_size_mb,avg_file_size_mb,avg_elapsed_sec,total_elapsed_sec,total_spectrum_scan_error_count,avg_spectrum_scan_error_count,queries_using_no_s3files
cricut_events,cricut_recommendation_user_recos_v2,Ion,prod-cricut-recommendation,N,N,N,0,2,0,0.0000,0,0,0.0,0,352,0.0340,0.028,7.2794,14.5588,0,0,0
matillion_external_stage,aspireiq_extract_raw,Ion,,N,N,N,0,7,0,0.0000,0,0,0.0,0,1,2.7932,2.7932,1.8977,13.2837,0,0,0
matillion_external_stage,airtable_refurb_machine_inventory_records,Ion,,N,N,N,0,5,0,0.0000,0,0,0.0,0,180,0.0165,0.0153,2.0227,10.1135,0,0,0
matillion_external_stage,airtable_refurb_services_records,Ion,,N,N,N,0,5,0,0.0000,0,0,0.0,0,477,0.0223,0.0179,1.6339,8.1693,0,0,0
matillion_external_stage,airtable_salsify_records,Ion,,N,N,N,0,9,0,0.0000,0,0,0.0,0,32,0.0411,0.0361,0.7043,6.3388,0,0,0
matillion_external_stage,airtable_base_schema,Ion,,N,N,N,0,36,0,0.0000,0,0,0.0,0,1,0.0133,0.0133,0.1341,4.8265,0,0,0
matillion_external_stage,airtable_psyche_force_curve_records,Ion,,N,N,N,0,5,0,0.0000,0,0,0.0,0,440,0.0045,0.0044,0.8983,4.4914,0,0,0
matillion_external_stage,airtable_psyche_eol_results_records,Ion,,N,N,N,0,8,0,0.0000,0,0,0.0,0,6,0.0535,0.0482,0.4768,3.8148,0,0,0
matillion_external_stage,airtable_psyche_equipment_time_log_records,Ion,,N,N,N,0,6,0,0.0000,0,0,0.0,0,16,0.0066,0.0061,0.4805,2.8829,0,0,0
matillion_external_stage,airtable_psyche_tracking_records,Ion,,N,N,N,0,5,0,0.0000,0,0,0.0,0,20,0.0048,0.0046,0.3993,1.9965,0,0,0
matillion_external_stage,airtable_bases,Ion,,N,N,N,0,9,0,0.0000,0,0,0.0,0,1,0.0002,0.0002,0.1611,1.4501,0,0,0
matillion_external_stage,airtable_psyche_cut_through_range_records,Ion,,N,N,N,0,8,0,0.0000,0,0,0.0,0,1,0.0048,0.0048,0.1269,1.0156,0,0,0
matillion_external_stage,airtable_refurb_machine_issues,Ion,,N,N,N,0,5,0,0.0000,0,0,0.0,0,1,0.2519,0.2519,0.1807,0.9036,0,0,0
matillion_external_stage,arena_changes,Ion,,N,N,N,0,7,0,0.0000,0,0,0.0,0,1,0.0028,0.0028,0.1246,0.8722,0,0,0
matillion_external_stage,airtable_psyche_wavy_lines_test_records,Ion,,N,N,N,0,5,0,0.0000,0,0,0.0,0,1,0.0046,0.0046,0.1205,0.6025,0,0,0
matillion_external_stage,airtable_refurb_fixes,Ion,,N,N,N,0,5,0,0.0000,0,0,0.0,0,1,0.0594,0.0594,0.1169,0.5844,0,0,0
matillion_external_stage,airtable_refurb_parts,Ion,,N,N,N,0,5,0,0.0000,0,0,0.0,0,1,0.0675,0.0675,0.1123,0.5615,0,0,0
