dbname,table_name,alert_seconds,alert_rowcount,alert_event,alert_solution,alert_sample_query,alert_querycount
dw,t_rslocal_localhost@44907317@81334900@,734496.40744900,14321664944,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",703361042,133
dw,t_rslocal_localhost@46686395@81334900@,718582.28765700,5442877672,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",703361042,130
dw,t_rslocal_localhost@46687550@81334900@,718540.35753100,5485971466,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",703361042,124
dw,event_client_mat_item_cut_pass_end,684399.29482000,988711727266,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,703356013,84
dw,event_client_mat_item_cut_pass_end,581408.34592800,2088550541,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",703389391,186
dw,firehose_events_enriched,526933.22772500,386389664297,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,703252919,75
dw,firehose_events_enriched,512080.54076200,2035693492,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",703351926,218
dw,t_rslocal_localhost@44907317@80823173@,408994.41319200,6012249901,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",699493010,44
dw,t_rslocal_localhost@46686395@80823173@,408797.69047100,3021377825,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",699493010,44
dw,t_rslocal_localhost@46687550@80823173@,408797.69047100,3051648650,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",699493010,44
dw,udm_engagement_cohorts_v2,348561.35117900,305025163981,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",699609380,12
,t_rslocal_localhost@44907317@80823173@,301931.54922800,2267592103,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",698284726,22
,t_rslocal_localhost@46686395@80823173@,301742.28082300,610235316,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",698284726,22
,t_rslocal_localhost@46687550@80823173@,301742.28082300,643387095,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",698284726,22
dw,fact_image_cut,279254.16493800,75902130334,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,703363887,38
dw,cut_project_session_summary,256968.48193500,103857,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",703351926,39
dw,t_rslocal_851725644085:dc3aaf51-149d-4b26-8db2-ae787605551b@1231232@716097@,254613.68425300,22325189061,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,703337017,20
dw,user_daily_metrics,249123.25014100,325142844423,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,703352423,17
dw,user_ds_product_attributes,245567.75971400,672412928002,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,703365288,33
dw,t_rslocal_localhost@44907317@81334900@,191878.72206400,8887907747,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,703345551,45
dw,t_rslocal_localhost@46686395@81334900@,188615.10333400,8228549426,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,703345551,41
dw,t_rslocal_localhost@46687550@81334900@,188615.10333400,8228549426,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,703345551,41
data_lake,firehose_v2_2022_2023,177350.16077500,222034198056,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,702934308,3
dw,t_rslocal_localhost@54293397@81334900@,174165.58976800,1245280798,Broadcasted a large number of rows across the network,Review the choice of distribution key to collocate the join and consider using distributed tables,703226043,20
dw,user_subscription_daily,157829.20123100,495111500108,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,703365288,43
