dbname,namespace,table_name,encoded,diststyle,sortkey1,max_varchar,sortkey1_enc,sortkey_num,unsorted,stats_off,tbl_rows,skew_rows,estimated_visible_rows,num_rows_marked_for_deletion,pct_rows_marked_for_deletion,vacuum_sort_benefit,vacuum_run_type,is_last_vacuum_recluster,last_vacuumed_date,days_since_last_vacuumed,query_count,table_recommendation_count,encoded_column_count,column_count,encoded_column_pct,encoded_sortkey_count,distkey_column_count,large_column_size_count,sort_key_alert_sample_query,sort_key_alert_query_count,stats_alert_sample_query,stats_alert_query_count,nl_alert_sample_query,nl_alert_query_count,distributed_alert_sample_query,distributed_alert_query_count,distributed_alert_sample_query,broadcasted_alert_query_count,deleted_alert_sample_query,deleted_alert_query_count
dw,analytics,udm_engagement_cohorts_v2,Y,KEY(user_id),date_id,500,none,1,65.46,100.00,598183318551,1.00,597216264192,967054359,0.0016,0.00,,,,,284,0,16,17,94.1176,0,1,0,699609380,12,,0,,0,,0,,0,,0
dw,analytics,firehose_events_enriched,Y,KEY(user_id),event_date_id,2048,none,4,82.05,60.80,114019903798,1.12,112440287232,1579616566,0.0138,7.00,,,,,767,0,105,110,95.4545,0,1,6,703351926,218,,0,,0,703252919,75,,0,,0
dw,fact,event_client_mat_item_cut_pass_end,"Y, AUTO(ENCODE)",AUTO(KEY(event_id_hash)),AUTO(SORTKEY),255,,0,,4.71,45807843448,1.00,45095923712,711919736,0.0155,,,,,,445,0,54,56,96.4285,0,1,0,703389391,186,,0,,0,703356013,84,703143935,3,,0
dw,analytics,cut_session_master_v2,Y,KEY(user_id),event_timestamp,65535,none,1,0.00,0.00,44088424157,1.01,44088422400,1757,0.0000,0.00,Manual,Y,2025-02-28,6,2,0,55,58,94.8275,0,1,39,,0,,0,,0,,0,,0,,0
dw,fact,user_daily_metrics,"Y, AUTO(ENCODE)",AUTO(KEY(user_id)),evaluation_date_id,255,none,1,9.12,77.50,32531520295,1.00,30740834304,1790685991,0.0550,2.00,Automatic,N,2025-03-06,0,331,0,29,38,76.3157,0,1,0,703356754,34,,0,,0,703352423,17,,0,,0
dw,fact,udm_visitors_tmp,"Y, AUTO(ENCODE)",KEY(user_id),evaluation_date,65535,none,1,0.00,0.00,30188844776,1.00,30188845056,0,0.0000,0.00,,,,,7,0,9,16,56.2500,0,1,1,699479790,5,,0,,0,,0,,0,,0
dw,cricut_dw,fact_event_client_cut_mat_item_cut_pass_end,Y,AUTO(KEY(user_id)),AUTO(SORTKEY(event_timestamp)),500,none,5,5.49,11.72,28161294452,1.01,27050971136,1110323316,0.0394,0.00,,,,,141,0,31,33,93.9393,3,1,0,699131248,1,,0,,0,699883692,1,,0,,0
dw,stage,users_daily,"Y, AUTO(ENCODE)",AUTO(EVEN),AUTO(SORTKEY),0,,0,,0.00,25938564988,,25938565120,0,0.0000,,,,,,1,0,8,8,100.0000,0,0,0,,0,,0,,0,,0,,0,,0
dw,analytics,user_daily_metrics_registrations,Y,KEY(user_id),user_id,0,az64,1,6.05,11.37,19543123459,1.00,19105273856,437849603,0.0224,0.00,,,,,1,0,1,3,33.3333,1,1,0,,0,,0,,0,,0,,0,,0
dw,fact,udm_registrations,"Y, AUTO(ENCODE)",KEY(user_id),evaluation_date,255,none,1,100.00,100.00,19289369433,1.00,19289368576,857,0.0000,0.00,,,,,13,0,8,13,61.5384,0,1,0,700257817,2,,0,,0,700257817,2,,0,,0
dw,stage,udm_registrations_daily_users,"Y, AUTO(ENCODE)",KEY(user_id),evaluation_date,0,none,1,0.00,0.00,19289369433,1.00,19289368576,857,0.0000,0.00,,,,,5,0,1,3,33.3333,0,1,0,703122642,21,,0,,0,,0,,0,,0
dw,stage,udm_registrations_unique_users,"Y, AUTO(ENCODE)",KEY(user_id),date_id,0,none,1,0.00,0.00,19233231343,1.00,19233230848,495,0.0000,0.00,,,,,5,0,1,3,33.3333,0,1,0,703163618,21,,0,,0,,0,,0,,0
dw,analytics,user_ds_product_attributes,Y,KEY(user_id),date_id,256,none,1,8.86,90.35,17515454190,1.00,16626673664,888780526,0.0507,4.00,Automatic,N,2025-03-01,5,259,0,10,11,90.9090,0,1,0,702891208,6,,0,,0,703365288,33,,0,,0
dw,fact,udm_registrations_bkp,"Y, AUTO(ENCODE)",KEY(user_id),AUTO(SORTKEY(user_id)),255,none,2,0.00,0.00,16145289944,1.00,16145290240,0,0.0000,0.00,,,,,1,0,8,13,61.5384,1,1,0,,0,,0,,0,,0,,0,,0
dw,analytics,project_master_fact,Y,KEY(user_id),event_date_id,12297,none,2,6.85,26.72,16067948051,1.02,15409861632,658086419,0.0409,0.00,Automatic,N,2025-03-05,1,216,0,41,46,89.1304,0,1,7,703075925,17,,0,,0,703076839,11,,0,,0
dw,analytics,project_master_fact,Y,KEY(user_id),event_date_id,12297,none,2,6.85,26.72,16067948051,1.02,15409861632,658086419,0.0409,0.00,Manual,Y,2025-02-28,6,216,0,41,46,89.1304,0,1,7,703075925,17,,0,,0,703076839,11,,0,,0
