dbname,db_username,qrytext,num_queries,min_minutes,max_minutes,avg_minutes,total_minutes,total_compile_minutes,total_num_compile_segments,min_disk_spill_mb,max_disk_spill_mb,avg_disk_spill_mb,total_disk_spill_mb,max_query_id,last_run,num_days_executed,total_aborted,qry_label,avg_spectrum_object_used,avg_federated_object_used,user_table_involved,alert
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""selligent_journey\""') TO 's3://gold-cricut-sftp/selligent/outbound/temp_selligent_journey.csv' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' PARALLEL OFF ALLOWOVERWRITE FORMAT AS CSV HEADER",1,86.65000,86.65000,86.65000,86.65000,0.06966,4,12821987,12821987,12821987,12821987,699677809,2025-03-01,1,0,default,0,0,,
data_lake,app_matillion_data_ops,"SELECT COUNT(*) AS row_count FROM (SELECT event_id_hash, COUNT(*) AS row_count FROM events.firehose_v2_2022_2023 GROUP BY event_id_hash HAVING COUNT(*) > 1)",3,32.13333,135.03333,73.88333,221.64999,0.00133,1,3607815,11813897,7443211,22329633,702934308,2025-03-06,2,2,default,0,0,,
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""pillar2_deeplink_vs_es_monthly_view\""') TO 's3://gold-data-domo/dw/analytics/pillar2_deeplink_vs_es_monthly_view/pillar2_deeplink_vs_es_monthly_view_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,118.53333,118.53333,118.53333,118.53333,0.00000,0,7355017,7355017,7355017,7355017,701056736,2025-03-03,1,0,default,0,0,"firehose_events_enriched, user_subscription_daily, user_ds_product_attributes",
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""pillar2_deeplink_vs_es_monthly_view\""') TO 's3://gold-data-domo/dw/analytics/pillar2_deeplink_vs_es_monthly_view/pillar2_deeplink_vs_es_monthly_view_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,91.16666,91.16666,91.16666,91.16666,0.00000,0,7029603,7029603,7029603,7029603,702646902,2025-03-05,1,1,default,0,0,"user_ds_product_attributes, user_subscription_daily, firehose_events_enriched",Broacast
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""pillar2_deeplink_vs_es_monthly_view\""') TO 's3://gold-data-domo/dw/analytics/pillar2_deeplink_vs_es_monthly_view/pillar2_deeplink_vs_es_monthly_view_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,102.45000,102.45000,102.45000,102.45000,0.00000,0,6964222,6964222,6964222,6964222,699077345,2025-02-28,1,1,default,0,0,"firehose_events_enriched, user_subscription_daily, user_ds_product_attributes",
data_lake,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ DELETE FROM \""alloy\"".\""datashare_data_restatements\"" USING (SELECT \""partner_id\"" AS \""partner_id\"", \""location_id\"" AS \""location_id\"", \""product_id\"" AS \""product_id\"", \""date\"" AS \""date\"", \""new_m_glance_views\"" AS \""new_m_glance_views\"", \""old_m_glance_views\"" AS \""old_m_glance_views\"", \""new_m_inbound_on_order_units\"" AS \""new_m_inbound_on_order_units\"", \""old_m_inbound_on_order_units\"" AS \""old_m_inbound_on_order_units\"", \""new_m_outbound_shipped_un",1,86.85000,86.85000,86.85000,86.85000,0.00000,0,5732470,5732470,5732470,5732470,703173499,2025-03-06,1,0,default,0,0,,Dist
data_lake,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ DELETE FROM \""alloy\"".\""datashare_data_restatements\"" USING (SELECT \""partner_id\"" AS \""partner_id\"", \""location_id\"" AS \""location_id\"", \""product_id\"" AS \""product_id\"", \""date\"" AS \""date\"", \""new_m_glance_views\"" AS \""new_m_glance_views\"", \""old_m_glance_views\"" AS \""old_m_glance_views\"", \""new_m_inbound_on_order_units\"" AS \""new_m_inbound_on_order_units\"", \""old_m_inbound_on_order_units\"" AS \""old_m_inbound_on_order_units\"", \""new_m_outbound_shipped_un",6,61.75000,101.18333,78.56666,471.39998,0.10250,3,5514711,5642555,5614959,33689756,702468074,2025-03-05,4,0,default,0,0,,
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ create table fact.udm_registrations_tmp distkey (user_id) sortkey(evaluation_date) as select ud.user_id , ud.evaluation_date , first_value(first_machine_registration_date) ignore nulls over (partition by ud.user_id order by ud.evaluation_date asc ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW ) first_machine_registration_date , first_value(first_machine_serial_number) ignore nulls over (partition by ud.user_id order by ud.evaluation_date asc ROWS BETWEEN ",1,88.93333,88.93333,88.93333,88.93333,0.00000,0,5597100,5597100,5597100,5597100,703164002,2025-03-06,1,1,default,0,0,"udm_registrations_daily_users, udm_registrations_unique_users, udm_registrations_atheja_testing",
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""page_views_overall_freq_curve\""') TO 's3://gold-data-domo/dw/analytics/page_views_overall_freq_curve/page_views_overall_freq_curve_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,67.75000,67.75000,67.75000,67.75000,0.33133,6,5419786,5419786,5419786,5419786,702620839,2025-03-05,1,0,default,0,0,"user_subscription_daily, firehose_events_enriched",
dw,app_matillion,"INSERT INTO analytics.mv_tbl__subscription_user_daily__0( SELECT \""user_event\"".\""date_id\"" AS \""date_id\"", \""user_event\"".\""period_name\"" AS \""period_name\"", \""user_event\"".\""period_start_date\"" AS \""period_start_date\"", \""user_event\"".\""period_end_date\"" AS \""period_end_date\"", \""user_event\"".\""beginning_of_month_status\"" AS \""beginning_of_month_status\"", \""user_event\"".\""end_of_month_status\"" AS \""end_of_month_status\"", \""user_event\"".\""user_id\"" AS \""user_id\"", \""user_event\"".\""provider_plan",1,216.28333,216.28333,216.28333,216.28333,0.00216,0,4528452,4528452,4528452,4528452,701151583,2025-03-03,1,0,default,0,0,"subscription_plans, subscription_type, date",NL
