dbname,db_username,qrytext,num_queries,min_minutes,max_minutes,avg_minutes,total_minutes,total_compile_minutes,total_num_compile_segments,min_disk_spill_mb,max_disk_spill_mb,avg_disk_spill_mb,total_disk_spill_mb,max_query_id,last_run,num_days_executed,total_aborted,qry_label,avg_spectrum_object_used,avg_federated_object_used,user_table_involved,alert
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""netstock_snop_forecast_actuals\""') TO 's3://gold-netstock/snop/stage/netstock_snop_forecast_actuals' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' PARALLEL OFF ALLOWOVERWRITE FORMAT AS CSV HEADER",7,100.66666,1440.26666,951.08332,6657.58330,1.16933,3,2917854,2995306,2968365,20778561,702079686,2025-03-04,4,7,default,0,0,,NL Dist
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""netstock_snop_forecast_actuals\""') TO 's3://gold-netstock/snop/stage/netstock_snop_forecast_actuals' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' PARALLEL OFF ALLOWOVERWRITE FORMAT AS CSV HEADER",2,182.93333,738.61666,460.77499,921.54999,0.00000,0,0,0,0,0,701437801,2025-03-04,2,2,default,0,0,,NL
personalization,app_airflow_dev,COPY personalization.core.recos_response_logger FROM 's3://prod-cricut-recommendation/user_recos_v2/20250227/' IAM_ROLE '' FORMAT AS JSON 'auto' ACCEPTINVCHARS,1,266.28333,266.28333,266.28333,266.28333,0.00000,0,267181,267181,267181,267181,698344645,2025-02-27,1,0,default,0,0,,
dw,app_matillion,"INSERT INTO analytics.mv_tbl__subscription_user_daily__0( SELECT \""user_event\"".\""date_id\"" AS \""date_id\"", \""user_event\"".\""period_name\"" AS \""period_name\"", \""user_event\"".\""period_start_date\"" AS \""period_start_date\"", \""user_event\"".\""period_end_date\"" AS \""period_end_date\"", \""user_event\"".\""beginning_of_month_status\"" AS \""beginning_of_month_status\"", \""user_event\"".\""end_of_month_status\"" AS \""end_of_month_status\"", \""user_event\"".\""user_id\"" AS \""user_id\"", \""user_event\"".\""provider_plan",1,216.28333,216.28333,216.28333,216.28333,0.00216,0,4528452,4528452,4528452,4528452,701151583,2025-03-03,1,0,default,0,0,"subscription_plans, subscription_type, date",NL
data_lake,app_matillion_data_ops,"SELECT COUNT(*) AS row_count FROM (SELECT event_id_hash, COUNT(*) AS row_count FROM events.firehose_v2_2022_2023 GROUP BY event_id_hash HAVING COUNT(*) > 1)",2,207.55000,208.98333,208.26666,416.53333,0.00000,0,0,0,0,0,702208696,2025-03-05,2,0,default,0,0,,
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ DELETE FROM \""analytics\"".\""weekly_active_users\"" USING (SELECT \""rolling_start_date\"" AS \""rolling_start_date\"", \""rolling_end_date\"" AS \""rolling_end_date\"", \""user_id\"" AS \""user_id\"", \""d_combination\"" AS \""d_combination\"" FROM (with splits as ( select 1 as n union all select 2 union all select 3 union all select 4 union all select 5 union all select 6 ) select rolling_start_date , rolling_end_date , user_id , listagg( distinct device_split,'_') within ",1,205.86666,205.86666,205.86666,205.86666,0.00000,0,0,0,0,0,700736337,2025-03-03,1,0,default,0,0,,NL
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ INSERT INTO \""analytics\"".\""weekly_active_users\"" (\""rolling_start_date\"", \""rolling_end_date\"", \""user_id\"", \""d_combination\"") SELECT \""rolling_start_date\"", \""rolling_end_date\"", \""user_id\"", \""d_combination\"" FROM (SELECT \""rolling_start_date\"" AS \""rolling_start_date\"", \""rolling_end_date\"" AS \""rolling_end_date\"", \""user_id\"" AS \""user_id\"", \""d_combination\"" AS \""d_combination\"" FROM (with splits as ( select 1 as n union all select 2 union all select",1,205.38333,205.38333,205.38333,205.38333,0.00000,0,0,0,0,0,700856654,2025-03-03,1,0,default,0,0,,NL
dw,app_matillion,"CREATE TABLE analytics.mv_tbl__subscription_user_daily__0__tmp BACKUP YES AS ( SELECT \""user_event\"".\""date_id\"" AS \""date_id\"", \""user_event\"".\""period_name\"" AS \""period_name\"", \""user_event\"".\""period_start_date\"" AS \""period_start_date\"", \""user_event\"".\""period_end_date\"" AS \""period_end_date\"", \""user_event\"".\""beginning_of_month_status\"" AS \""beginning_of_month_status\"", \""user_event\"".\""end_of_month_status\"" AS \""end_of_month_status\"", \""user_event\"".\""user_id\"" AS \""user_id\"", \""user_ev",1,203.73333,203.73333,203.73333,203.73333,0.00000,0,4498912,4498912,4498912,4498912,700403820,2025-03-02,1,0,default,0,0,"subscription_plans, subscription_type, date",NL
personalization,app_matillion_data_ops,COPY personalization.core.recos_response_logger FROM 's3://prod-cricut-recommendation/user_recos_v2/20250227/' IAM_ROLE '' FORMAT AS JSON 'auto' ACCEPTINVCHARS,2,116.35000,269.41666,192.88333,385.76666,0.00000,0,0,368569,184284,368569,698431068,2025-02-27,1,1,default,0,0,,
dw,app_matillion,"CREATE TABLE analytics.mv_tbl__subscription_user_daily__0__tmp BACKUP YES AS ( SELECT \""user_event\"".\""date_id\"" AS \""date_id\"", \""user_event\"".\""period_name\"" AS \""period_name\"", \""user_event\"".\""period_start_date\"" AS \""period_start_date\"", \""user_event\"".\""period_end_date\"" AS \""period_end_date\"", \""user_event\"".\""beginning_of_month_status\"" AS \""beginning_of_month_status\"", \""user_event\"".\""end_of_month_status\"" AS \""end_of_month_status\"", \""user_event\"".\""user_id\"" AS \""user_id\"", \""user_ev",1,191.53333,191.53333,191.53333,191.53333,0.00000,0,0,0,0,0,699724301,2025-03-01,1,0,default,0,0,,NL
